gene,lgu_Unaffected,lgcv_Unaffected,dropr_Unaffected,dist_Unaffected,lgu_CRC,lgcv_CRC,dropr_CRC,dist_CRC,mean_diff,dist_sign,dv_score,z_score,pval
LGR5,0.09445189,1.7644447,0.9570661896243292,0.018781113738975543,0.58488697,0.8867625,0.6428571428571429,0.06021859386295733,0.49043506,1.0,0.04431898147238491,4.392022137944027,1.1230126104821991e-05
PPP1R9A,0.5256407,0.8988606,0.6565295169946332,6.30044069171504e-05,0.60115445,0.8421035,0.6135642135642135,0.0378565280200278,0.07551372,1.0,0.043332564882359995,4.296610250536226,1.7342973020584296e-05
SAT1,0.67822886,0.76726025,0.5438282647584973,9.445636047191617e-05,0.54575056,0.887855,0.6468975468975469,0.03223437824651575,-0.1324783,1.0,0.04165916673891909,4.134749555100869,3.5534193298492056e-05
APBB2,0.35045406,1.0856475,0.776386404293381,0.002173993153150353,0.9311186,0.5966584,0.3567099567099567,0.04042999805198697,0.5806645,1.0,0.04032645476317592,4.0058419857609975,6.179695223607062e-05
CFTR,0.5766525,0.893797,0.6457960644007156,0.025645651489671677,0.8813241,0.655779,0.42049062049062047,0.06425632547878256,0.3046716,1.0,0.03867180439485572,3.8457946829906176,0.00012016235252620966
CCSER1,0.83996004,0.6596652,0.4329159212880143,0.008755586654598569,1.1104666,0.46796155,0.22063492063492063,0.03791170818745231,0.27050656,1.0,0.036836651584138895,3.6682881455673155,0.0002441799039816228
MID1,0.5381373,0.87860024,0.6422182468694096,0.0001338293020471222,0.5941301,0.83116597,0.6036075036075036,0.022900598576481614,0.055992782,1.0,0.035801637460047046,3.5681756250846246,0.0003594755301417063
PTPRD,0.5456503,0.87724483,0.6422182468694096,9.454086960346598e-05,0.61523545,0.8179214,0.5916305916305916,0.027131166430413352,0.069585145,1.0,0.03528662706307013,3.5183608566519817,0.0004342214619177387
KIZ,0.15825748,1.4375128,0.8998211091234347,0.0013691404073426414,0.9213341,0.59676355,0.36002886002886003,0.03482010588347962,0.7630766,1.0,0.03521641704571613,3.5115697398576966,0.00044546856539429136
CEMIP,0.028247891,2.2229183,0.9821109123434705,1.4722080286332315e-05,0.652277,0.7970348,0.5705627705627706,0.03541881511185953,0.6240291,1.0,0.03515796889820182,3.5059162987799377,0.00045503829166348986
PTPRO,0.06375836,1.8691139,0.9660107334525939,0.005040786478011965,0.60050166,0.8443033,0.6109668109668109,0.03756348230594108,0.5367433,1.0,0.0333022291408017,3.3264184734374336,0.000879697494429843
DIAPH3,0.14399923,1.5293058,0.9212880143112702,0.015367233876295147,0.3156913,1.1896632,0.8245310245310246,0.047985506355154445,0.17169206,1.0,0.03319469292949332,3.3160169524275758,0.0009131028970170707
CD55,0.11571508,1.5735354,0.9284436493738819,1.8483153271580476e-06,0.5414428,0.8931389,0.6505050505050505,0.0330205424501748,0.42572773,1.0,0.03318940511406581,3.315505484498807,0.0009147754604017511
